CODPAR,PROVINCIA,CANTON,PARROQUIA,tipo_infraestructura
2175,SUCUMBIOS,SHUSHUFINDI,LIMONCOCHA,Sitio Contaminado
2175,SUCUMBIOS,SHUSHUFINDI,LIMONCOCHA,Sitio Contaminado
2175,SUCUMBIOS,SHUSHUFINDI,LIMONCOCHA,Sitio Contaminado
2175,SUCUMBIOS,SHUSHUFINDI,LIMONCOCHA,Sitio Contaminado
2175,SUCUMBIOS,SHUSHUFINDI,LIMONCOCHA,Sitio Contaminado
2175,SUCUMBIOS,SHUSHUFINDI,LIMONCOCHA,Sitio Contaminado
2175,SUCUMBIOS,SHUSHUFINDI,LIMONCOCHA,Sitio Contaminado
2175,SUCUMBIOS,SHUSHUFINDI,LIMONCOCHA,Sitio Contaminado
2175,SUCUMBIOS,SHUSHUFINDI,LIMONCOCHA,Sitio Contaminado
2175,SUCUMBIOS,SHUSHUFINDI,LIMONCOCHA,Sitio Contaminado
2175,SUCUMBIOS,SHUSHUFINDI,LIMONCOCHA,Sitio Contaminado
2175,SUCUMBIOS,SHUSHUFINDI,LIMONCOCHA,Sitio Contaminado
6140,SUCUMBIOS,SHUSHUFINDI,SHUSHUFINDI CENTRAL,Sitio Contaminado
2175,SUCUMBIOS,SHUSHUFINDI,LIMONCOCHA,Sitio Contaminado
2175,SUCUMBIOS,SHUSHUFINDI,LIMONCOCHA,Sitio Contaminado
2175,SUCUMBIOS,SHUSHUFINDI,LIMONCOCHA,Sitio Contaminado
2175,SUCUMBIOS,SHUSHUFINDI,LIMONCOCHA,Sitio Contaminado
6140,SUCUMBIOS,SHUSHUFINDI,SHUSHUFINDI CENTRAL,Sitio Contaminado
6140,SUCUMBIOS,SHUSHUFINDI,SHUSHUFINDI CENTRAL,Sitio Contaminado
6140,SUCUMBIOS,SHUSHUFINDI,SHUSHUFINDI CENTRAL,Sitio Contaminado
6140,SUCUMBIOS,SHUSHUFINDI,SHUSHUFINDI CENTRAL,Sitio Contaminado
6140,SUCUMBIOS,SHUSHUFINDI,SHUSHUFINDI CENTRAL,Sitio Contaminado
6140,SUCUMBIOS,SHUSHUFINDI,SHUSHUFINDI CENTRAL,Sitio Contaminado
6140,SUCUMBIOS,SHUSHUFINDI,SHUSHUFINDI CENTRAL,Sitio Contaminado
6140,SUCUMBIOS,SHUSHUFINDI,SHUSHUFINDI CENTRAL,Sitio Contaminado
6140,SUCUMBIOS,SHUSHUFINDI,SHUSHUFINDI CENTRAL,Sitio Contaminado
6140,SUCUMBIOS,SHUSHUFINDI,SHUSHUFINDI CENTRAL,Sitio Contaminado
6140,SUCUMBIOS,SHUSHUFINDI,SHUSHUFINDI CENTRAL,Sitio Contaminado
6140,SUCUMBIOS,SHUSHUFINDI,SHUSHUFINDI CENTRAL,Sitio Contaminado
6140,SUCUMBIOS,SHUSHUFINDI,SHUSHUFINDI CENTRAL,Sitio Contaminado
6140,SUCUMBIOS,SHUSHUFINDI,SHUSHUFINDI CENTRAL,Sitio Contaminado
6140,SUCUMBIOS,SHUSHUFINDI,SHUSHUFINDI CENTRAL,Sitio Contaminado
6140,SUCUMBIOS,SHUSHUFINDI,SHUSHUFINDI CENTRAL,Sitio Contaminado
6140,SUCUMBIOS,SHUSHUFINDI,SHUSHUFINDI CENTRAL,Sitio Contaminado
2175,SUCUMBIOS,SHUSHUFINDI,LIMONCOCHA,Sitio Contaminado
2175,SUCUMBIOS,SHUSHUFINDI,LIMONCOCHA,Sitio Contaminado
2175,SUCUMBIOS,SHUSHUFINDI,LIMONCOCHA,Sitio Contaminado
2175,SUCUMBIOS,SHUSHUFINDI,LIMONCOCHA,Sitio Contaminado
2175,SUCUMBIOS,SHUSHUFINDI,LIMONCOCHA,Sitio Contaminado
6140,SUCUMBIOS,SHUSHUFINDI,SHUSHUFINDI CENTRAL,Sitio Contaminado
6140,SUCUMBIOS,SHUSHUFINDI,SHUSHUFINDI CENTRAL,Sitio Contaminado
6140,SUCUMBIOS,SHUSHUFINDI,SHUSHUFINDI CENTRAL,Sitio Contaminado
6140,SUCUMBIOS,SHUSHUFINDI,SHUSHUFINDI CENTRAL,Sitio Contaminado
6140,SUCUMBIOS,SHUSHUFINDI,SHUSHUFINDI CENTRAL,Sitio Contaminado
6140,SUCUMBIOS,SHUSHUFINDI,SHUSHUFINDI CENTRAL,Sitio Contaminado
2175,SUCUMBIOS,SHUSHUFINDI,LIMONCOCHA,Sitio Contaminado
2175,SUCUMBIOS,SHUSHUFINDI,LIMONCOCHA,Sitio Contaminado
2175,SUCUMBIOS,SHUSHUFINDI,LIMONCOCHA,Sitio Contaminado
2175,SUCUMBIOS,SHUSHUFINDI,LIMONCOCHA,Sitio Contaminado
2175,SUCUMBIOS,SHUSHUFINDI,LIMONCOCHA,Sitio Contaminado
