codigo_dpa,nombre_parroquia,nombre_canton,nombre_provincia,centroide_lon,centroide_lat,area_km2
4430,SANTIAGO DE QUITO,COLTA,CHIMBORAZO,-78.72928847653735,-1.7720910303076596,55.73
0515,CAPZOL,CHUNCHI,CHIMBORAZO,-78.9301487388464,-2.3093912071149427,25.28
0615,COMPUD,CHUNCHI,CHIMBORAZO,-78.92561765535956,-2.358329868380814,28.85
1370,GONZOL,CHUNCHI,CHIMBORAZO,-78.85137588691416,-2.267506643985646,24.93
2260,LLAGOS,CHUNCHI,CHIMBORAZO,-78.97046737688412,-2.364889859621855,66.56
0555,CEBADAS,GUAMOTE,CHIMBORAZO,-78.54977609866164,-2.0477901628957342,566.55
2730,PALMIRA,GUAMOTE,CHIMBORAZO,-78.75444828761961,-2.0796343105050594,241.59
1415,GUANANDO,GUANO,CHIMBORAZO,-78.52967889095352,-1.5031110772162601,14.8
1705,ILAPO,GUANO,CHIMBORAZO,-78.58176836272956,-1.5439145744848872,33.09
2080,LA PROVIDENCIA,GUANO,CHIMBORAZO,-78.54578129938103,-1.5704898506619815,10.18
3295,SAN ANDRES,GUANO,CHIMBORAZO,-78.74838885700959,-1.5176717164370241,164.01
3425,SAN GERARDO / PAQUICAHUAN,GUANO,CHIMBORAZO,-78.61443380554216,-1.6366547757018246,7.12
3450,SAN ISIDRO DE PATULU,GUANO,CHIMBORAZO,-78.67576572775637,-1.5420464841268746,77.45
0045,SAN JOSE DEL CHAZO,GUANO,CHIMBORAZO,-78.55242294179102,-1.5275609731747728,14.54
0040,SANTA FE DE GALAN,GUANO,CHIMBORAZO,-78.57435545728684,-1.497869493821604,29.16
0410,VALPARAISO,GUANO,CHIMBORAZO,-78.60861330660256,-1.5517761059752047,21.2
1110,EL ALTAR,PENIPE,CHIMBORAZO,-78.44242539934814,-1.5461010648347848,74.22
2400,MATUS,PENIPE,CHIMBORAZO,-78.43427767844267,-1.5896432078482763,74.07
2975,PUELA,PENIPE,CHIMBORAZO,-78.43857832628254,-1.5050735163196018,73.03
3335,SAN ANTONIO DE BAYUSHIG,PENIPE,CHIMBORAZO,-78.51796060596962,-1.5489335103610749,3.87
0925,LA CANDELARIA,PENIPE,CHIMBORAZO,-78.44432273224929,-1.640350094800256,89.2
1325,BILBAO,PENIPE,CHIMBORAZO,-78.48698085182804,-1.4681675085350707,25.12
0255,EL RETIRO,MACHALA,EL ORO,-79.95992933111393,-3.3782086128289643,126.52
0805,CHACRAS,ARENILLAS,EL ORO,-80.16422903347555,-3.5405862091206806,97.49
2715,PALMALES,ARENILLAS,EL ORO,-80.10722937922593,-3.7002544995153372,211.1
1695,CARCABON,ARENILLAS,EL ORO,-80.16165526404386,-3.6310146919231627,77.7
4650,LA CUCA,ARENILLAS,EL ORO,-80.06905630527297,-3.4655912017264696,140.65
0225,AYAPAMBA,ATAHUALPA,EL ORO,-79.7297143116001,-3.580320226305101,100.32
4480,CORDONCILLO,ATAHUALPA,EL ORO,-79.62915352300251,-3.5540277097121464,30.53
4535,MILAGRO,ATAHUALPA,EL ORO,-79.66723852382094,-3.6234604838795454,2.82
4530,SAN JOSE,ATAHUALPA,EL ORO,-79.65613725556562,-3.6288848197752515,2.44
0375,SAN JUAN DE CERRO AZUL,ATAHUALPA,EL ORO,-79.76538982180014,-3.5172265434611694,96.22
1975,BELLAMARIA,BALSAS,EL ORO,-79.85631310109245,-3.759355872590478,12.78
0300,BARBONES,EL GUABO,EL ORO,-79.87614900596202,-3.167583695841442,68.55
0245,LA IBERIA,EL GUABO,EL ORO,-79.87652309687482,-3.243455553200302,13.85
4000,TENDALES,EL GUABO,EL ORO,-79.8390092351424,-3.1052331350954394,106.36
2050,RIO BONITO,EL GUABO,EL ORO,-79.71560315483326,-3.129929165857704,155.37
0160,EL INGENIO,MARCABELI,EL ORO,-79.94579637625851,-3.7285157742996717,18.63
0390,BUENAVISTA,PASAJE,EL ORO,-79.83429452351862,-3.3696834046015405,41.27
4495,CASACAY,PASAJE,EL ORO,-79.71041981825579,-3.348933838229394,61.14
2075,LA PEAÑA,PASAJE,EL ORO,-79.85087195584985,-3.311639713746111,16.23
1225,PROGRESO,PASAJE,EL ORO,-79.68769118941108,-3.2649385194860314,148.95
4160,UZHCURRUMI,PASAJE,EL ORO,-79.59838239506189,-3.3515386979958817,30.23
0775,CAÑAQUEMADA,PASAJE,EL ORO,-79.80959844358621,-3.284893637960139,27.13
0505,CAPIRO,PIÑAS,EL ORO,-79.75705157379163,-3.7905117320314163,145.07
2230,LA BOCANA,PIÑAS,EL ORO,-79.90139106091424,-3.7018554428493204,60.45
2465,MOROMORO,PIÑAS,EL ORO,-79.76396063050719,-3.6700096704238785,84.25
2850,PIEDRAS,PIÑAS,EL ORO,-79.91310113655295,-3.631570988426717,40.34
3650,SAN ROQUE,PIÑAS,EL ORO,-79.67935779524622,-3.737852647342078,47.6
1385,SARACAY,PIÑAS,EL ORO,-79.83695159598533,-3.6675055555053273,117.15
0740,CURTINCAPAC,PORTOVELO,EL ORO,-79.54535114646077,-3.7326908996436607,17.34
