codigo_dpa,nombre_provincia,nombre_canton,nombre_parroquia
5100,GUAYAS,BALZAR,BALZAR
5365,GUAYAS,COLIMES,COLIMES
5345,GUAYAS,EL TRIUNFO,EL TRIUNFO
5660,GUAYAS,MILAGRO,MILAGRO
5675,GUAYAS,NARANJAL,NARANJAL
5705,GUAYAS,NARANJITO,NARANJITO
5725,GUAYAS,PALESTINA,PALESTINA
5735,GUAYAS,PEDRO CARBO,PEDRO CARBO
5925,GUAYAS,SAMBORONDON,SAMBORONDON
6580,GUAYAS,SANTA LUCIA,SANTA LUCIA
5765,GUAYAS,SALITRE,PARAISO
6285,GUAYAS,YAGUACHI,YAGUACHI NUEVO
6255,GUAYAS,PLAYAS,GRAL. VILLAMIL / PLAYAS
6385,GUAYAS,SIMON BOLIVAR,SIMON BOLIVAR
6410,GUAYAS,CRNL MARCELINO MARIDUENAS,CRNL MARCELINO MARIDUENAS
6440,GUAYAS,LOMAS SARGENTILLO,LOMAS SARGENTILLO
6620,GUAYAS,GRAL. A. ELIZALDE,GRAL. ELIZALDE /BUCAY
6710,GUAYAS,ISIDRO AYORA,ISIDRO AYORA
6405,GUAYAS,GUAYAQUIL,PASCUALES
6265,GUAYAS,GUAYAQUIL,XIMENA
5355,GUAYAS,GUAYAQUIL,FEBRES CORDERO
5585,GUAYAS,GUAYAQUIL,LETAMENDI
5380,GUAYAS,GUAYAQUIL,GARCIA MORENO
5055,GUAYAS,GUAYAQUIL,AYACUCHO
5720,GUAYAS,GUAYAQUIL,OLMEDO/SAN ALEJO
5125,GUAYAS,GUAYAQUIL,BOLIVAR/SAGRARIO
5890,GUAYAS,GUAYAQUIL,ROCAFUERTE
5695,GUAYAS,GUAYAQUIL,9 DE OCTUBRE
5880,GUAYAS,GUAYAQUIL,ROCA
5170,GUAYAS,GUAYAQUIL,CARBO/CONCEPCION
6095,GUAYAS,GUAYAQUIL,SUCRE
6185,GUAYAS,GUAYAQUIL,URDANETA
7445,GUAYAS,SAMBORONDON,LA PUNTILLA (SATELITE)
