codigo_dpa,nombre_provincia,nombre_canton,nombre_parroquia
6425,CAÑAR,DELEG,DELEG
6845,CAÑAR,AZOGUES,AURELIO BAYAS MARTINEZ
5115,CAÑAR,BIBLIAN,BIBLIAN
5160,CAÑAR,CAÑAR,CAÑAR
5610,CAÑAR,LA TRONCAL,LA TRONCAL
6345,CAÑAR,EL TAMBO,EL TAMBO
6715,CAÑAR,SUSCAL,SUSCAL
5065,CAÑAR,AZOGUES,AZOGUES
6790,CAÑAR,AZOGUES,BORRERO
5950,CAÑAR,AZOGUES,SAN FRANCISCO
5010,CHIMBORAZO,ALAUSI,ALAUSI
5475,CHIMBORAZO,CHAMBO,CHAMBO
5255,CHIMBORAZO,CHUNCHI,CHUNCHI
5430,CHIMBORAZO,GUAMOTE,GUAMOTE
6540,CHIMBORAZO,PALLATANGA,PALLATANGA
5740,CHIMBORAZO,PENIPE,PENIPE
6420,CHIMBORAZO,CUMANDA,CUMANDA
5145,CHIMBORAZO,COLTA,CAJABAMBA
6080,CHIMBORAZO,COLTA,SICALPA
5550,CHIMBORAZO,GUANO,LA MATRIZ
5940,COTOPAXI,LATACUNGA,SAN BUENAVENTURA
5500,COTOPAXI,LATACUNGA,JUAN MONTALVO
5310,COTOPAXI,LATACUNGA,ELOY ALFARO / SAN FELIPE
5465,COTOPAXI,LATACUNGA,IGNACIO FLORES
6880,COTOPAXI,LA MANA,EL CARMEN
6535,COTOPAXI,LA MANA,LA MANA
6895,COTOPAXI,LA MANA,EL TRIUNFO
5305,COTOPAXI,PANGUA,EL CORAZON
6070,COTOPAXI,SAQUISILI,SAQUISILI
6450,COTOPAXI,SIGCHOS,SIGCHOS
5045,TUNGURAHUA,AMBATO,ATOCHA FICOA
5605,TUNGURAHUA,AMBATO,LA PENINSULA
5560,TUNGURAHUA,AMBATO,LA MERCED
5945,TUNGURAHUA,AMBATO,SAN FRANCISCO
5445,TUNGURAHUA,AMBATO,HUACHI LORETO
5545,TUNGURAHUA,AMBATO,LA MATRIZ
5455,TUNGURAHUA,AMBATO,HUACHI CHICO
5230,TUNGURAHUA,AMBATO,CELIANO MONGE
5840,TUNGURAHUA,AMBATO,PISHILATA
5105,TUNGURAHUA,BAÑOS,BAÑOS
6555,TUNGURAHUA,CEVALLOS,CEVALLOS
6560,TUNGURAHUA,MOCHA,MOCHA
5830,TUNGURAHUA,PATATE,PATATE
5835,TUNGURAHUA,QUERO,QUERO
5900,TUNGURAHUA,PELILEO,PELILEO GRANDE /R. MINO
5780,TUNGURAHUA,PELILEO,PELILEO
5225,TUNGURAHUA,PILLARO,CIUDAD NUEVA
5515,TUNGURAHUA,TISALEO,TISALEO
5665,MANABI,MONTECRISTI,MONTECRISTI
5755,MANABI,PAJAN,PAJAN
6550,MANABI,PICHINCHA,PICHINCHA /GERMUD
5885,MANABI,ROCAFUERTE,ROCAFUERTE
6030,MANABI,SANTA ANA,SANTA ANA
5580,MANABI,SUCRE,LEONIDAS PLAZA G.
6170,MANABI,TOSAGUA,TOSAGUA
6105,MANABI,24 DE MAYO,SUCRE
6495,MANABI,OLMEDO,OLMEDO /PUCA
6575,MANABI,PUERTO LOPEZ,PUERTO LOPEZ
6750,MANABI,JAMA,JAMA
6755,MANABI,JARAMIJO,JARAMIJO
6785,MANABI,SAN VICENTE,SAN VICENTE
5845,MANABI,PORTOVIEJO,PICOAZA
6770,MANABI,PORTOVIEJO,18 DE OCTUBRE
5280,MANABI,PORTOVIEJO,12 DE MARZO
6585,MANABI,PORTOVIEJO,SAN PABLO
5795,MANABI,PORTOVIEJO,PORTOVIEJO
6775,MANABI,PORTOVIEJO,FRANCISCO PACHECO
6910,MANABI,PORTOVIEJO,SIMON BOLIVAR
5030,MANABI,PORTOVIEJO,ANDRES DE VERA
5265,MANABI,PORTOVIEJO,COLON
5150,MANABI,BOLIVAR,CALCETA
5250,MANABI,CHONE,CHONE
6055,MANABI,CHONE,SANTA RITA
6195,MANABI,EL CARMEN,4 DE DICIEMBRE
5300,MANABI,EL CARMEN,EL CARMEN
5480,MANABI,FLAVIO ALFARO,FLAVIO ALFARO
7465,MANABI,JIPIJAPA,DR. MIGUEL MORAN LUCIO
7475,MANABI,JIPIJAPA,SAN LORENZO DE JIPIJAPA
7470,MANABI,JIPIJAPA,MANUEL INOCENCIO PARRALES
5485,MANABI,JIPIJAPA,JIPIJAPA
